Nom,EURO STOXX 50® (Gross Return EUR)
ISIN,CH0102173264
Symbole,SX5GT
Source,https://stoxx.com/index/sx5gt/?factsheet=true
Date,Close
2005-07-15,780.73
2005-07-18,780.21
2005-07-19,789.15
2005-07-20,786.73
2005-07-21,785.78
2005-07-22,784.12
2005-07-25,785.39
2005-07-26,786.51
2005-07-27,788.39
2005-07-28,793.67
2005-07-29,792.12
2005-08-01,790.95
2005-08-02,798.42
2005-08-03,796.92
2005-08-04,789.05
2005-08-05,781.87
2005-08-08,784.71
2005-08-09,793.98
2005-08-10,803.5
2005-08-11,799.53
2005-08-12,795.27
2005-08-15,793.55
2005-08-16,789.04
2005-08-17,786.84
2005-08-18,783.42
2005-08-19,793.99
2005-08-22,794.53
2005-08-23,787.1
2005-08-24,785.9
2005-08-25,777.37
2005-08-26,769.48
2005-08-29,773.27
2005-08-30,771.87
2005-08-31,778.96
2005-09-01,783.37
2005-09-02,781.49
2005-09-05,788.33
2005-09-06,797.58
2005-09-07,799.4
2005-09-08,798.73
2005-09-09,801.84
2005-09-12,800.64
2005-09-13,793.7
2005-09-14,796.91
2005-09-15,796.91
2005-09-16,803.49
2005-09-19,801.03
2005-09-20,805.69
2005-09-21,793.99
2005-09-22,790.53
2005-09-23,795.13
2005-09-26,811.69
2005-09-27,807.71
2005-09-28,818.49
2005-09-29,814.51
2005-09-30,818.27
2005-10-03,823.24
2005-10-04,826.8
2005-10-05,815.96
2005-10-06,807.68
2005-10-07,805.29
2005-10-10,807.16
2005-10-11,808.66
2005-10-12,802.07
2005-10-13,795.28
2005-10-14,799.62
2005-10-17,801.34
